first_name,last_name,email_address,email_confirm,password_requirement,password,Nickname,mm,dd,yyyy,sex,city,zipcode,
jeseok,lee,jeseok@umich.edu,jeseok@umich.edu,qweQWE123,qweQWE123,qwerr,1,1,2014,male,ann arbor,48105,
jeseok,lee,jeseok1117@gmail.com,jeseok1117@gmail.com,qweQWE123,qweQWE123,qwerr4,1,1,2014,male,ann arbor,48105,
jeseok,lee,jeseok@umich.edu,jeseok@umich.edu,qweQWE123,qweQWE123,qweQWEqwe,1,1,2014,male,ann arbor,48105,
jeseok,lee,jeseok@umich.edu,jeseok@umich.edu,qweQWE123,qweQWE123,qweQWEqwe,1,1,2014,male,ann arbor,48105,
jeseok,lee,cubehead@naver.com,cubehead@naver.com,qweQWE123,qweQWE123,qweQWEqwe,1,1,2014,male,ann arbor,48105,
jeseok,lee,jeseok@umich.edu,jeseok@umich.edu,qweQWE123,qweQWE123,qweqwe,1,1,2014,male,ann arbor,12345,

jeseok,lee,jeseok@umich.edu,jeseok@umich.edu,qweQWE123,qweQWE123,qweQWE,1,1,2014,male,ann arbor,48105,
jeseok,lee,jeseok@umich.edu,jeseok@umich.edu,qweQWE123,qweQWE123,qweqweqwe,1,1,2014,male,ann arbor,48105,
jeseok,lee,jeseok@umich.edu,jeseok@umich.edu,qweQWE123,qweQWE123,qweqwe,1,1,2014,male,ann arbor,48105,
jeseok,lee,jeseok@umich.edu,jeseok@umich.edu,qweQWE123,qweQWE123,qweQWE,1,1,2014,male,ann arbor,48105,
jeseok,lee,jeseok@umich.edu,jeseok@umich.edu,qweQWE123,qweQWE123,qweqweqweqwe,1,1,2014,male,ann arbor,48105,
Jason,Smith,jeseok@umich.edu,jeseok@umich.edu,qweQWE123,qweQWE123,qweqweqwe,1,1,2014,male,ann arbor,31232,
